Total Print Distance,X-Printer 1,Y-Printer 1,X-Printer 2,Y-Printer 2,X-Printer 3,Y-Printer 3,X-Printer 4,Y-Printer 4,X-Printer 5,Y-Printer 5
228700.364641,149.688361052,718.393675588,673.187352898,418.616935599,269.58947534,812.882487667,747.571776216,587.154573644,588.716711215,903.44586758
205335.41978,350.801124903,267.690740291,479.50241825,259.541906028,420.958909075,411.904232135,682.425174512,354.097838488,249.915377727,903.476794284
334414.663152,46.5678199434,45.9190322448,155.187617444,205.9130246,24.6554992356,754.931098749,409.076373853,762.445949,703.655136289,784.091797445
210274.297254,52.7886535698,293.113906743,608.398127109,186.612602749,262.315981684,718.490413619,277.80373813,806.293888873,683.404402267,844.915024808
314193.534754,123.411958256,127.989090944,449.17120516,107.07657679,581.955004538,11.6648455594,740.076223002,390.262484692,581.604469159,626.900554533
348492.034144,74.3842155171,148.41243903,189.083364699,126.604740748,498.77676733,56.9531087,100.088634461,547.755001899,627.740220403,90.4240977312
245218.738801,170.305209616,256.967100295,259.276678085,429.962468583,384.584558804,606.468861608,781.900195487,248.937632019,431.934714635,803.946519248
304819.15313,218.3089761,362.036722637,160.472597597,402.969087499,244.420770655,401.409328497,272.934450838,916.718860013,568.431984449,770.760163869
271267.859394,95.4807199418,48.5525541506,299.705301642,530.412923105,440.749098278,495.116463245,179.261197427,773.219844593,188.919846133,883.997061765
273798.048907,92.8812291884,155.054868388,279.519911151,382.339041234,710.845452719,5.10901715002,497.679613395,664.50463156,666.184988676,850.116341633
287483.744002,38.2635472436,567.829490301,68.0746332559,623.466494448,142.479010387,753.079983776,554.893203839,551.437866061,459.804877421,693.920963278
235950.432187,368.329404834,528.208768323,601.257369385,391.871011245,694.436162071,597.606177478,458.43029324,987.209724511,554.084314926,953.582872945
312087.246203,66.0491439902,408.603493331,418.463746923,585.608652725,484.75416384,550.804232632,480.578115329,624.633776014,694.552954205,527.960042169
289689.409652,570.926075853,70.4728309064,369.759888399,747.264017528,360.462388266,836.779047311,428.430871575,815.115450484,274.42105582,898.275083693
222644.673718,326.364040654,330.104954467,287.601649225,407.293030563,260.148921341,641.979659715,592.20587225,472.363895281,9.70374405105,789.794395359
262245.715765,239.579007384,239.28512374,181.494899438,458.755829288,388.264466793,462.764726138,720.849889579,26.8657578271,590.476536704,427.01620525
226475.548896,438.825012282,36.4304684948,617.533265921,406.196436615,136.600939226,864.834575718,592.101159305,841.314062204,552.21449597,900.352775981
293162.002859,199.981124397,606.934266641,42.4304245653,695.442632752,208.629605062,779.227845609,286.411279194,799.348864623,720.165332294,561.116027671
234967.433399,5.71012068952,499.919527686,364.178049631,476.449440091,17.7943705693,620.606528253,640.711421446,350.324165862,235.081396224,1003.81944776
231757.777387,280.826176095,288.78941203,37.0187513082,504.387977323,637.880030431,521.052024455,427.61714062,857.921981558,148.751987687,993.729618611
302233.128957,72.4893288524,294.453299377,320.934256585,81.5608379133,371.390902607,287.293771071,581.225104799,614.20562866,746.57760196,505.041056824
310808.196987,63.6842213163,563.298976369,393.590524806,574.388117246,189.428069193,706.970653745,451.427772092,779.480666519,517.042971815,1001.4225749
198708.966548,99.648063053,284.2685253,391.051283034,203.932011087,584.72775383,224.92299388,102.366302059,742.390247906,547.630408744,570.951277346
258810.897773,417.725042555,442.538462185,128.187527697,913.435601781,693.800208019,779.271696376,554.903891473,1000.87689257,757.990878389,986.384096085
223992.049586,412.68908764,210.534264134,313.850130063,682.510530904,201.499516412,762.369525975,251.439234228,751.588884399,573.986706655,749.97857173
214136.377785,493.706907754,409.19238717,632.378978316,174.147160381,646.243154339,553.230638984,42.0375349839,864.8704754,383.500988645,995.222459505
238109.91525,270.984846553,251.347651047,228.100146759,561.204392654,401.246770447,474.092718997,542.396047194,732.893616029,67.8782000648,980.413165448
264836.50774,13.3343287336,657.882043886,669.100436494,232.946698299,776.904876157,25.9578798845,771.783553029,631.617689611,596.567899649,906.357997173
241930.790128,141.689252786,443.09082073,192.725114837,474.746124218,289.04597332,444.223753045,733.174082513,310.793666967,331.964684089,949.689257635
244828.489199,520.742863216,238.790569864,275.862286569,831.133952058,372.901548436,882.584087121,335.905385068,959.460284884,440.402154342,941.371775219
211088.7124,269.871437505,260.252854358,207.61281114,324.56248128,544.893832882,157.338329245,208.500247349,598.759559993,687.29800137,406.084274407
215167.853469,313.792368111,256.746839781,473.270428503,445.633633476,727.218335041,451.033951749,363.254730505,810.576231066,420.871967819,999.497008967
263999.927427,359.232259858,227.315301321,738.178595822,5.56602713775,404.954474386,771.736939804,2.30324007011,911.95778458,111.479682809,910.948419111
253029.405482,16.2463275772,295.73681235,414.586240017,68.0441231846,476.093161368,524.404552888,41.6007860521,788.351960258,312.006811947,988.442632468
214231.790011,304.552147197,392.500440733,595.057556165,518.666685818,768.746203416,298.879102181,150.193664733,921.89968043,380.373867377,940.820980756
287415.157978,430.319255147,121.155174752,496.586680996,22.4616248668,498.280604394,371.789432554,620.174493302,364.203514435,688.616841142,861.724163251
235958.337577,313.91768957,288.352159013,202.595319034,441.515423333,521.770126415,425.922517814,551.518407002,438.85390946,604.276467126,890.357862324
292702.116776,319.891832125,28.3205220417,248.450888882,523.083881795,291.803261419,507.068284517,589.772864746,779.28500628,661.029664557,956.922946895
233296.329639,141.432260906,183.408378757,86.2391475991,593.831307328,569.393202921,335.173901229,601.596873512,639.850523824,719.674411863,625.91300739
296407.227523,162.866408246,106.62904642,43.0423483189,247.798196821,290.14503543,541.111874842,245.620746058,756.419615433,737.467076868,877.163042399
252141.556242,352.946224616,106.235229404,254.10027674,574.909730487,713.724498985,630.934776874,784.870312727,567.030507941,699.489568772,758.683224464
231562.320757,36.7648362658,134.846070396,449.664381669,454.999997445,323.684431651,568.787810684,732.209420556,338.97027919,769.637640491,889.236542707
309298.41157,209.598542092,89.0103499919,613.131410186,595.250459314,710.288426669,704.450081556,330.334749992,956.028838941,782.266521606,880.44615158
215686.308255,210.734091737,105.335700848,73.6005413075,462.363127034,673.385675589,193.174105561,673.080829,473.062112621,164.009482929,868.706979094
263480.559997,88.8477261187,37.1869347945,419.38654015,280.750735378,439.735329499,521.455202873,772.09408627,159.017496195,615.704669044,714.433140272
286246.981838,470.64821765,165.375436974,513.394525397,102.944279709,580.232227098,25.6942060931,408.328622353,858.320534007,162.7587073,1007.65094908
249559.400888,305.12179565,24.5569988138,416.146832487,168.212372551,391.965437964,334.930732607,190.545802078,610.917451836,59.2227468811,884.894964346
195655.509656,316.011526855,475.586120953,615.418643716,178.534076952,359.666747137,632.628250411,625.005473915,403.513053498,583.28270964,769.407607289
230038.658621,279.097099961,349.071317667,460.311323586,477.453604721,307.166725936,590.71165738,775.282805897,45.5305863142,67.7480944845,996.270384207
225939.500291,436.721466929,575.371241833,312.653339838,726.544683768,734.782366693,330.660904725,63.2649119129,1001.83712922,549.694271783,868.081401714
235041.760533,384.162276923,184.867557523,437.525488705,173.947410751,623.940909847,69.8150184398,372.142048437,744.540567179,755.814840791,656.210769749
247499.471992,47.0005552281,55.2289201041,409.496569687,324.314610996,357.07766549,630.811943068,408.365798818,680.031600972,637.005472101,807.920748103
264563.306117,45.4054939764,66.7820892007,137.426098014,30.1938581059,583.310159224,162.463276468,331.535838404,603.408899134,688.911832576,236.514840772
254003.685217,282.681892558,449.644194333,352.430871825,525.572191076,419.55457731,574.497849818,725.462249323,267.255030789,588.292710247,668.828079024
302808.780727,218.078540495,151.885377305,187.931447476,268.158632457,17.9055449828,794.958528741,45.7660055054,809.574314645,747.557907756,575.907728196
288728.282621,118.379020776,401.174668721,59.4438781146,710.391608485,434.914921563,601.360991478,218.983215155,717.615933093,751.728945146,781.054573515
239537.505784,355.962003397,190.494532926,104.938953989,445.313446348,410.167048602,686.253212587,453.138643328,748.930179571,774.814268439,470.704421962
239576.07291,448.950268877,481.670799671,315.545509947,609.681439029,660.642976322,609.047356995,778.922486842,451.234164199,546.590430396,896.656898133
330255.347299,80.7537624274,643.199224153,153.577974541,818.376032462,622.722221089,651.238303221,157.33732684,986.185627646,461.396895027,896.687728577
353534.009831,4.56118690562,236.073595308,333.73756466,66.6381133659,427.095566273,57.451686877,25.9390483413,527.243138837,531.92441481,188.726655213
283496.88893,294.803041906,18.5500209782,500.517595451,32.2727911886,431.468215804,555.386647251,602.248936315,585.476178463,699.345356508,672.522880898
230369.023294,412.285449367,92.9955678493,217.052349342,624.787688815,31.1478625073,750.869454419,183.510559734,863.58154391,723.710207564,676.556887017
229773.733776,119.755548191,137.464374828,222.037823489,577.949585935,383.969229369,559.190400189,619.891017093,448.969527647,488.090040226,999.71865346
207676.917938,410.127400766,358.312891613,700.760123568,351.542969135,241.098573233,773.983529146,340.321874163,861.216310608,339.97496007,895.783981357
287702.278731,1.6944464528,236.103903682,28.4419413714,660.564125951,249.221436162,780.880765856,663.29473788,542.513163709,224.845852899,842.100183658
288341.881618,37.342234342,288.633977378,146.441775872,416.451766864,387.711487341,489.996819899,478.767375807,766.994755968,105.400285531,932.26146141
294509.400697,218.681873844,129.915225123,41.9396286611,544.326503902,271.524443612,699.522758923,562.451666214,784.504600996,186.532603931,970.792956248
283436.716404,167.773565805,228.031748432,377.257267732,462.948953319,360.530246327,643.092082009,509.138007499,744.159232229,455.90101767,908.526671458
230360.071842,224.923416694,573.922628687,629.732180108,402.957835025,620.926516998,602.266585704,683.174771377,771.267222601,622.561887481,894.215075017
263384.179677,170.017307835,48.4323499175,456.920882828,141.739888063,240.456445295,693.993119285,738.520268979,33.5619250716,243.400522504,1006.15852606
329085.587039,110.866168475,317.493427556,134.175653955,375.967458347,143.96073632,508.626692576,336.04112583,457.398475244,431.762997828,543.427651094
381879.676434,26.9114735016,192.446025515,62.6256297454,206.857828051,310.767540993,72.2677631301,199.14337841,277.435399585,745.572695592,591.732055184
309951.079227,428.788727119,50.2442240168,8.77034148679,435.45250891,436.967822191,51.3178994718,503.967344297,96.269458494,416.599384651,842.360844168
272177.20537,499.25588428,70.1658055423,487.728697117,307.25810097,590.140137983,309.274158922,608.167872808,657.841584638,647.489734242,925.860352685
238188.697819,274.413890978,162.954689232,302.585848821,328.534983297,321.575301067,633.476191972,577.166661927,568.808138968,554.90990862,757.357039244
232539.438079,332.143905008,290.178071723,295.318251209,543.603137487,653.319209441,57.1238148775,339.804200731,616.139241769,526.001882388,735.800167297
315447.759021,117.163835883,220.175961683,10.2847902395,390.08014699,730.93181362,543.151827217,447.043321838,865.685810804,490.039026555,991.22298153
218372.313039,464.586235411,128.418372762,17.6647100916,596.82514807,410.441670459,603.535774176,634.565310287,481.197628877,711.918447551,784.012598295
269779.808307,408.129595268,456.919845906,405.140631354,727.498624096,326.902291991,853.741787121,396.73044178,918.12882761,541.186991057,896.070990097
231045.11071,30.0346843417,91.2790151761,449.237164774,86.8791153627,557.847587598,471.67350146,399.531325665,773.009457966,602.852824013,863.39301703
213232.009086,175.232990534,436.896845452,553.767419682,291.477555968,775.154947499,519.800969961,455.371677099,818.703579917,515.145323145,961.015263917
278736.131286,410.111456978,485.912869908,156.783524351,976.935933384,236.675783225,966.652200393,484.989146541,928.671437181,741.73736036,879.998970478
305568.726174,251.071749245,492.786368398,315.902160439,545.843665306,48.8042669331,730.664512676,405.742956399,650.475697798,733.449021837,926.356232761
300334.265889,536.022103137,192.97220281,580.06061549,137.783073104,622.579363301,153.102148996,582.665838852,726.284326606,545.191936214,762.205209478
290790.724375,164.152126427,162.953246412,96.9759173659,307.468318145,282.554215963,196.121772414,388.330093643,311.09907144,289.637991534,585.020445131
214526.752975,427.11162087,105.652429393,643.651011861,227.495710364,271.332344651,690.132209879,98.8212489675,886.240109433,309.156907989,985.180127217
286935.123495,150.94813682,232.518217827,315.200024905,125.961657362,485.97537579,380.843501964,573.462190468,776.131599038,704.423615846,802.374736587
307685.487054,153.870911542,410.903073377,537.930740066,690.197911147,701.846677322,561.631376396,599.87684783,783.860174206,623.83353736,959.819237255
212074.414532,117.414211593,500.258937435,592.986226495,118.455610514,634.101449488,406.732788594,465.160274039,680.393542588,670.881376849,773.237665024
236841.315583,349.041934217,246.094029963,778.659795508,15.7965169526,7.58556950131,849.832850769,270.792880634,823.23768978,597.737375836,740.527056375
266906.767113,518.803778325,73.692323274,408.552760653,376.63429187,376.750243703,446.745262778,633.683090117,882.864612901,668.073439132,995.048354368
203472.857453,452.003014862,342.493993172,257.621517196,742.213368061,442.859757717,784.547894277,98.5384272282,961.528079327,651.858758145,887.396900738
259858.650061,62.2110072088,106.69630775,416.349877948,71.0963610571,419.340936676,585.507634362,507.710671711,586.975657886,312.312533073,885.342908003
218470.024373,92.353346257,34.8967279092,592.055159576,238.095942351,610.147689171,518.779330453,208.543694896,827.926829329,746.543843135,465.961905022
240137.487108,261.931953602,467.61703337,388.286472352,461.445918212,85.7103326459,642.138723655,241.742818818,904.85116794,664.808107209,869.834373337
238456.250284,84.5395743721,322.288958799,202.277563065,387.17645425,549.998688392,111.110316381,503.963435188,436.570602763,674.419036853,894.07176975
351060.798864,63.8447311266,215.540658633,358.108081406,729.185451351,543.824707122,692.014223173,411.544790984,814.353445059,442.89494724,894.920711886
218593.457399,538.503137416,469.678513984,126.519514586,706.37684714,665.248315477,366.065069359,629.324407393,506.347644496,449.760722129,917.871199923
289679.603254,4.08061126057,120.653827964,273.047720504,163.703029084,326.717724046,241.554827666,432.622593024,288.490311313,90.1502821658,655.931303359
300663.3971,421.772493506,168.657126417,573.048758719,364.436280453,667.826844403,162.934057617,596.359103217,521.021240851,747.628704391,535.407596001
203977.624038,425.536579271,304.145730306,230.917568664,471.120000797,602.168040098,228.654321378,473.239207267,637.856961954,478.019377182,923.288655299
387773.38963,23.3483167741,71.8288265231,40.6783139637,201.056848829,190.428395013,844.739928398,394.734381685,786.886769796,591.662063133,993.271384211
231232.668445,56.0704550742,467.305475463,611.498912299,75.0051048728,613.554858502,211.060314469,224.679823677,620.112160409,434.921171861,512.718928264
254344.427273,434.612029393,93.0332458664,491.011796967,10.1032584139,262.68908042,524.339878888,230.427748252,739.63943992,441.419574062,805.459069876
220612.612554,79.0071041508,44.5885199804,581.153933475,190.539439607,117.290663808,812.762568,622.596855231,606.85774806,487.329755878,932.566759338
269451.791375,768.175263559,5.51050598738,508.219422497,615.467252259,726.952947738,459.619278209,265.597972197,861.372594406,13.3289778536,944.526563311
296191.630307,177.746078507,112.131895969,405.706098837,113.630552269,658.249254081,426.778731956,621.748300624,532.767640533,555.981102448,1008.32018625
341642.840501,65.623891975,281.169284462,332.238508072,50.1096322421,485.63473274,111.993373262,593.306315914,144.400224491,661.507717152,426.237230665
271267.40595,99.7719357823,317.987339699,180.024557824,793.502144761,754.983733075,474.052408612,103.724367583,992.567757312,253.343735192,975.899291875
